species_id	20091FL-01-01-13	20091FL-01-01-13	20091FL-01-01-14	20091FL-01-01-14	20091FL-01-01-17	20091FL-01-01-17	20091FL-01-01-18	20091FL-01-01-18	20091FL-01-01-19	20091FL-01-01-19	20091FL-01-01-20	20091FL-01-01-20	20091FL-01-01-21	20091FL-01-01-21	20091FL-01-01-22	20091FL-01-01-22	20091FL-01-01-23	20091FL-01-01-23	20091FL-01-01-24	20091FL-01-01-24
101107	0.090	0.090	0.032	0.032	0.029	0.029	0.040	0.040	0.041	0.041	0.030	0.030	0.057	0.057	0.054	0.054	0.062	0.062	0.036	0.036
101026	0.065	0.065	0.029	0.029	0.080	0.080	0.027	0.027	0.025	0.025	0.039	0.039	0.015	0.015	0.041	0.041	0.018	0.018	0.042	0.042
101000	0.063	0.063	0.030	0.030	0.074	0.074	0.020	0.020	0.097	0.097	0.087	0.087	0.117	0.117	0.075	0.075	0.093	0.093	0.070	0.070
101003	0.039	0.039	0.032	0.032	0.017	0.017	0.044	0.044	0.116	0.116	0.108	0.108	0.183	0.183	0.102	0.102	0.144	0.144	0.100	0.100
101089	0.044	0.044	0.001	0.001	0.026	0.026	0.001	0.001	0.047	0.047	0.009	0.009	0.030	0.030	0.022	0.022	0.009	0.009	0.019	0.019
100111	0.041	0.041	0.055	0.055	0.029	0.029	0.016	0.016	0.052	0.052	0.061	0.061	0.013	0.013	0.040	0.040	0.059	0.059	0.034	0.034
101251	0.024	0.024	0.022	0.022	0.008	0.008	0.009	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101057	0.047	0.047	0.005	0.005	0.033	0.033	0.007	0.007	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100401	0.025	0.025	0.006	0.006	0.057	0.057	0.004	0.004	0.027	0.027	0.024	0.024	0.037	0.037	0.014	0.014	0.048	0.048	0.025	0.025
101191	0.016	0.016	0.003	0.003	0.009	0.009	0.002	0.002	0.030	0.030	0.017	0.017	0.019	0.019	0.011	0.011	0.024	0.024	0.019	0.019
101245	0.016	0.016	0.025	0.025	0.020	0.020	0.012	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101210	0.020	0.020	0.003	0.003	0.013	0.013	0.003	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100829	0.022	0.022	0.022	0.022	0.007	0.007	0.025	0.025	0.045	0.045	0.079	0.079	0.025	0.025	0.066	0.066	0.011	0.011	0.056	0.056
