species_id	marker_read_counts	median_marker_coverage	marker_coverage	marker_relative_abundance	unique_fraction_covered
101948	3220	41.701671	47.551488	0.251808	1.000000
101253	2139	35.787879	40.587954	0.214933	1.000000
101336	1982	26.663866	28.207495	0.149372	0.933333
100007	1496	22.481728	21.360789	0.113116	1.000000
100008	2467	22.082902	35.218808	0.186501	1.000000
100055	589	7.027244	8.518277	0.045108	1.000000
100097	206	2.763333	2.962919	0.015690	0.933333
103255	160	1.930556	3.162467	0.016747	0.909091
101923	69	0.807487	1.041034	0.005513	0.666667
100009	5	0.000000	0.074436	0.000394	0.133333
100111	7	0.000000	0.099627	0.000528	0.133333
102454	4	0.000000	0.054928	0.000291	0.142857
