sample_name	species_id	genome_length	covered_bases	total_depth	aligned_reads	mapped_reads	fraction_covered	mean_coverage
20091FL-01-01-13	134387	3310806	2157804	45838316	407988	332915	0.652	21.243
20091FL-01-01-13	134387	3310806	2157804	45838316	407988	332915	0.652	21.243
20091FL-01-01-14	134387	3310806	2261216	43911168	374704	320502	0.683	19.419
20091FL-01-01-14	134387	3310806	2261216	43911168	374704	320502	0.683	19.419
20091FL-01-01-15	134387	3310806	2173631	32082027	287682	230606	0.657	14.760
20091FL-01-01-15	134387	3310806	2173631	32082027	287682	230606	0.657	14.760
20091FL-01-01-17	134387	3310806	2544760	33037506	284564	239583	0.769	12.983
20091FL-01-01-17	134387	3310806	2544760	33037506	284564	239583	0.769	12.983
20091FL-01-01-18	134387	3310806	2332410	60225377	510147	434753	0.704	25.821
20091FL-01-01-18	134387	3310806	2332410	60225377	510147	434753	0.704	25.821
20091FL-01-01-19	134387	3310806	2649308	209173312	1765629	1518523	0.800	78.954
20091FL-01-01-19	134387	3310806	2649308	209173312	1765629	1518523	0.800	78.954
20091FL-01-01-20	134387	3310806	2661432	221033610	1841700	1580576	0.804	83.051
20091FL-01-01-20	134387	3310806	2661432	221033610	1841700	1580576	0.804	83.051
20091FL-01-01-21	134387	3310806	2581223	214707316	1788375	1532455	0.780	83.180
20091FL-01-01-21	134387	3310806	2581223	214707316	1788375	1532455	0.780	83.180
20091FL-01-01-22	134387	3310806	2397904	83050338	705643	602876	0.724	34.635
20091FL-01-01-22	134387	3310806	2397904	83050338	705643	602876	0.724	34.635
20091FL-01-01-23	134387	3310806	2433564	88119179	756972	623120	0.735	36.210
20091FL-01-01-23	134387	3310806	2433564	88119179	756972	623120	0.735	36.210
20091FL-01-01-24	134387	3310806	2603855	234961506	1997987	1663038	0.786	90.236
20091FL-01-01-24	134387	3310806	2603855	234961506	1997987	1663038	0.786	90.236
20091FL-01-01-13	101273	3430462	2073680	68518411	705552	492850	0.604	33.042
