species_id	20091FL-01-01-13	20091FL-01-01-13	20091FL-01-01-14	20091FL-01-01-14	20091FL-01-01-15	20091FL-01-01-15	20091FL-01-01-17	20091FL-01-01-17	20091FL-01-01-18	20091FL-01-01-18	20091FL-01-01-19	20091FL-01-01-19	20091FL-01-01-20	20091FL-01-01-20	20091FL-01-01-21	20091FL-01-01-21	20091FL-01-01-22	20091FL-01-01-22	20091FL-01-01-23	20091FL-01-01-23	20091FL-01-01-24	20091FL-01-01-24
101380	22.639	22.639	12.001	12.001	69.226	69.226	36.088	36.088	8.224	8.224	12.829	12.829	21.932	21.932	0.847	0.847	4.211	4.211	0.786	0.786	18.420	18.420
101273	17.170	17.170	5.523	5.523	3.098	3.098	23.704	23.704	0.894	0.894	40.923	40.923	32.322	32.322	17.990	17.990	12.722	12.722	3.148	3.148	19.570	19.570
134387	15.212	15.212	10.448	10.448	2.103	2.103	5.501	5.501	5.900	5.900	46.775	46.775	61.034	61.034	48.937	48.937	22.373	22.373	20.425	20.425	46.076	46.076
101701	9.121	9.121	0.000	0.000	1.258	1.258	8.394	8.394	0.000	0.000	19.718	19.718	2.698	2.698	4.538	4.538	2.063	2.063	0.000	0.000	4.628	4.628
100291	8.191	8.191	14.790	14.790	1.796	1.796	9.494	9.494	4.955	4.955	25.475	25.475	22.071	22.071	3.246	3.246	9.830	9.830	1.236	1.236	12.703	12.703
119889	7.206	7.206	0.622	0.622	2.959	2.959	14.466	14.466	0.232	0.232	0.493	0.493	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
108278	5.853	5.853	1.306	1.306	0.699	0.699	19.891	19.891	0.519	0.519	14.750	14.750	12.619	12.619	5.271	5.271	1.139	1.139	5.877	5.877	7.247	7.247
113213	5.148	5.148	0.000	0.000	0.000	0.000	3.610	3.610	0.000	0.000	16.010	16.010	9.039	9.039	3.228	3.228	0.538	0.538	0.000	0.000	7.018	7.018
142728	1.214	1.214	16.940	16.940	0.490	0.490	5.147	5.147	5.666	5.666	0.301	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101186	1.097	1.097	5.119	5.119	1.139	1.139	7.640	7.640	1.480	1.480	24.487	24.487	39.821	39.821	14.380	14.380	36.965	36.965	13.585	13.585	46.421	46.421
134971	1.047	1.047	0.000	0.000	0.000	0.000	2.193	2.193	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
112332	0.807	0.807	1.368	1.368	0.773	0.773	7.018	7.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
104604	0.776	0.776	2.688	2.688	0.868	0.868	4.271	4.271	1.280	1.280	23.388	23.388	31.727	31.727	11.192	11.192	19.873	19.873	3.593	3.593	61.533	61.533
