species_id	20091FL-01-01-13	20091FL-01-01-13	20091FL-01-01-14	20091FL-01-01-14	20091FL-01-01-15	20091FL-01-01-15	20091FL-01-01-17	20091FL-01-01-17	20091FL-01-01-18	20091FL-01-01-18	20091FL-01-01-19	20091FL-01-01-19	20091FL-01-01-20	20091FL-01-01-20	20091FL-01-01-21	20091FL-01-01-21	20091FL-01-01-22	20091FL-01-01-22	20091FL-01-01-23	20091FL-01-01-23	20091FL-01-01-24	20091FL-01-01-24
101380	2028	2028	871	871	5467	5467	2630	2630	749	749	1048	1048	1585	1585	313	313	650	650	184	184	1629	1629
101273	1388	1388	540	540	359	359	1608	1608	316	316	2729	2729	2392	2392	1502	1502	863	863	522	522	1746	1746
134387	1096	1096	865	865	259	259	504	504	1091	1091	4367	4367	3997	3997	3544	3544	1561	1561	1398	1398	3570	3570
101701	944	944	24	24	565	565	600	600	18	18	1204	1204	192	192	551	551	280	280	33	33	513	513
100291	905	905	1346	1346	349	349	704	704	437	437	1922	1922	2156	2156	245	245	740	740	513	513	1117	1117
119889	1420	1420	145	145	679	679	1038	1038	172	172	78	78	4	4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
108278	755	755	148	148	361	361	1718	1718	94	94	1053	1053	891	891	649	649	218	218	455	455	734	734
113213	470	470	88	88	77	77	295	295	73	73	1120	1120	676	676	451	451	165	165	246	246	662	662
142728	364	364	1158	1158	476	476	448	448	794	794	29	29	12	12	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101186	286	286	342	342	243	243	478	478	225	225	1578	1578	2769	2769	1157	1157	2257	2257	1522	1522	3601	3601
134971	385	385	174	174	118	118	206	206	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
112332	448	448	158	158	335	335	559	559	56	56	57	57	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
104604	142	142	369	369	338	338	327	327	241	241	1806	1806	2492	2492	1233	1233	1537	1537	423	423	4814	4814
103992	174	174	72	72	138	138	504	504	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
109416	363	363	683	683	81	81	215	215	454	454	942	942	2144	2144	883	883	569	569	436	436	2810	2810
100131	456	456	475	475	230	230	156	156	498	498	1306	1306	2160	2160	194	194	811	811	33	33	1519	1519
101047	130	130	30	30	23	23	175	175	186	186	1408	1408	588	588	769	769	237	237	224	224	377	377
112461	244	244	1242	1242	47	47	267	267	1384	1384	92	92	15	15	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
121827	131	131	13	13	154	154	108	108	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
141329	18	18	0.000	0.000	5	5	30	30	0.000	0.000	4	4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
147157	390	390	222	222	139	139	325	325	36	36	4	4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
125707	164	164	0.000	0.000	0.000	0.000	45	45	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
111379	60	60	26	26	68	68	22	22	145	145	281	281	142	142	113	113	45	45	23	23	13	13
105623	32	32	16	16	14	14	29	29	33	33	520	520	1207	1207	82	82	144	144	38	38	400	400
108051	280	280	128	128	116	116	423	423	76	76	228	228	187	187	93	93	23	23	0.000	0.000	19	19
100301	167	167	146	146	38	38	119	119	143	143	240	240	381	381	131	131	93	93	63	63	205	205
109339	91	91	98	98	120	120	49	49	119	119	677	677	126	126	118	118	31	31	17	17	177	177
133606	14	14	15	15	0.000	0.000	28	28	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
104419	125	125	30	30	20	20	84	84	0.000	0.000	112	112	46	46	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100507	67	67	255	255	0.000	0.000	29	29	44	44	49	49	347	347	84	84	81	81	0.000	0.000	152	152
131092	34	34	53	53	43	43	41	41	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
103501	30	30	33	33	4	4	90	90	14	14	737	737	245	245	130	130	86	86	10	10	92	92
112211	45	45	1160	1160	90	90	273	273	1626	1626	19	19	33	33	0.000	0.000	5	5	0.000	0.000	0.000	0.000
108721	226	226	118	118	0.000	0.000	97	97	74	74	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
130755	17	17	239	239	4	4	75	75	532	532	154	154	77	77	66	66	0.000	0.000	33	33	28	28
132071	150	150	489	489	24	24	120	120	937	937	0.000	0.000	8	8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
126778	24	24	46	46	40	40	75	75	81	81	1822	1822	3257	3257	906	906	1352	1352	394	394	3634	3634
108556	45	45	10	10	0.000	0.000	0.000	0.000	30	30	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
146082	77	77	272	272	0.000	0.000	82	82	370	370	38	38	7	7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
115369	69	69	10	10	0.000	0.000	35	35	9	9	250	250	79	79	234	234	0.000	0.000	5	5	154	154
139947	57	57	48	48	0.000	0.000	19	19	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
136088	317	317	0.000	0.000	9	9	14	14	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
107220	133	133	122	122	56	56	246	246	0.000	0.000	76	76	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
138779	87	87	28	28	5	5	9	9	0.000	0.000	0.000	0.000	49	49	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
141133	24	24	708	708	417	417	577	577	1033	1033	33	33	12	12	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
137669	140	140	97	97	76	76	134	134	41	41	191	191	43	43	189	189	15	15	85	85	118	118
134974	191	191	131	131	0.000	0.000	232	232	18	18	5	5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100304	31	31	18	18	92	92	31	31	8	8	46	46	6	6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
103531	108	108	61	61	0.000	0.000	78	78	0.000	0.000	200	200	295	295	227	227	30	30	78	78	98	98
110918	71	71	34	34	0.000	0.000	0.000	0.000	76	76	0.000	0.000	34	34	0.000	0.000	0.000	0.000	0.000	0.000	12	12
101485	180	180	0.000	0.000	118	118	258	258	0.000	0.000	10	10	11	11	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
120881	7	7	0.000	0.000	0.000	0.000	0.000	0.000	20	20	0.000	0.000	18	18	0.000	0.000	0.000	0.000	0.000	0.000	39	39
103955	115	115	0.000	0.000	0.000	0.000	24	24	0.000	0.000	21	21	38	38	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
131071	37	37	21	21	0.000	0.000	12	12	19	19	213	213	113	113	86	86	78	78	0.000	0.000	116	116
114962	24	24	29	29	0.000	0.000	14	14	41	41	37	37	101	101	0.000	0.000	80	80	0.000	0.000	0.000	0.000
102407	26	26	36	36	0.000	0.000	103	103	4	4	141	141	156	156	25	25	112	112	96	96	170	170
119286	289	289	34	34	190	190	40	40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
120896	345	345	247	247	342	342	145	145	17	17	7	7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
137981	268	268	76	76	118	118	210	210	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
128586	0.000	0.000	310	310	0.000	0.000	44	44	441	441	92	92	46	46	0.000	0.000	0.000	0.000	0.000	0.000	18	18
133523	0.000	0.000	245	245	8	8	129	129	153	153	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
102065	0.000	0.000	30	30	0.000	0.000	0.000	0.000	26	26	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
103525	0.000	0.000	8	8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100056	0.000	0.000	76	76	0.000	0.000	25	25	15	15	53	53	25	25	0.000	0.000	109	109	111	111	7	7
106616	0.000	0.000	33	33	0.000	0.000	16	16	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
116583	0.000	0.000	24	24	0.000	0.000	6	6	35	35	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101713	0.000	0.000	75	75	0.000	0.000	70	70	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
