species_id	20091FL-01-01-13	20091FL-01-01-13	20091FL-01-01-14	20091FL-01-01-14	20091FL-01-01-15	20091FL-01-01-15	20091FL-01-01-17	20091FL-01-01-17	20091FL-01-01-18	20091FL-01-01-18	20091FL-01-01-19	20091FL-01-01-19	20091FL-01-01-20	20091FL-01-01-20	20091FL-01-01-21	20091FL-01-01-21	20091FL-01-01-22	20091FL-01-01-22	20091FL-01-01-23	20091FL-01-01-23	20091FL-01-01-24	20091FL-01-01-24
101380	0.112	0.112	0.055	0.055	0.419	0.419	0.140	0.140	0.053	0.053	0.034	0.034	0.049	0.049	0.021	0.021	0.049	0.049	0.025	0.025	0.052	0.052
101273	0.085	0.085	0.037	0.037	0.031	0.031	0.094	0.094	0.025	0.025	0.097	0.097	0.080	0.080	0.106	0.106	0.070	0.070	0.074	0.074	0.060	0.060
134387	0.067	0.067	0.060	0.060	0.022	0.022	0.030	0.030	0.083	0.083	0.157	0.157	0.135	0.135	0.247	0.247	0.125	0.125	0.199	0.199	0.123	0.123
101701	0.057	0.057	0.002	0.002	0.047	0.047	0.034	0.034	0.001	0.001	0.043	0.043	0.006	0.006	0.036	0.036	0.022	0.022	0.005	0.005	0.018	0.018
100291	0.054	0.054	0.091	0.091	0.029	0.029	0.040	0.040	0.033	0.033	0.068	0.068	0.071	0.071	0.017	0.017	0.059	0.059	0.071	0.071	0.038	0.038
119889	0.081	0.081	0.010	0.010	0.055	0.055	0.058	0.058	0.013	0.013	0.003	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
108278	0.046	0.046	0.010	0.010	0.029	0.029	0.098	0.098	0.007	0.007	0.037	0.037	0.029	0.029	0.046	0.046	0.017	0.017	0.065	0.065	0.025	0.025
113213	0.029	0.029	0.006	0.006	0.007	0.007	0.017	0.017	0.005	0.005	0.040	0.040	0.023	0.023	0.032	0.032	0.014	0.014	0.035	0.035	0.024	0.024
142728	0.022	0.022	0.076	0.076	0.038	0.038	0.025	0.025	0.061	0.061	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101186	0.018	0.018	0.023	0.023	0.019	0.019	0.028	0.028	0.018	0.018	0.056	0.056	0.092	0.092	0.081	0.081	0.182	0.182	0.220	0.220	0.126	0.126
134971	0.022	0.022	0.012	0.012	0.010	0.010	0.011	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
112332	0.025	0.025	0.011	0.011	0.025	0.025	0.031	0.031	0.004	0.004	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
104604	0.008	0.008	0.025	0.025	0.028	0.028	0.019	0.019	0.018	0.018	0.063	0.063	0.082	0.082	0.085	0.085	0.122	0.122	0.059	0.059	0.162	0.162
103992	0.012	0.012	0.005	0.005	0.013	0.013	0.034	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
109416	0.024	0.024	0.053	0.053	0.008	0.008	0.014	0.014	0.039	0.039	0.038	0.038	0.080	0.080	0.069	0.069	0.051	0.051	0.070	0.070	0.109	0.109
100131	0.028	0.028	0.032	0.032	0.019	0.019	0.009	0.009	0.039	0.039	0.046	0.046	0.072	0.072	0.013	0.013	0.064	0.064	0.005	0.005	0.052	0.052
101047	0.007	0.007	0.002	0.002	0.002	0.002	0.010	0.010	0.014	0.014	0.050	0.050	0.020	0.020	0.054	0.054	0.018	0.018	0.033	0.033	0.013	0.013
112461	0.014	0.014	0.081	0.081	0.004	0.004	0.015	0.015	0.100	0.100	0.003	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
121827	0.007	0.007	0.001	0.001	0.013	0.013	0.006	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
141329	0.001	0.001	0.000	0.000	0.000	0.000	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
147157	0.024	0.024	0.016	0.016	0.012	0.012	0.019	0.019	0.003	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
125707	0.008	0.008	0.000	0.000	0.000	0.000	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
111379	0.004	0.004	0.002	0.002	0.006	0.006	0.001	0.001	0.012	0.012	0.011	0.011	0.005	0.005	0.008	0.008	0.004	0.004	0.004	0.004	0.000	0.000
105623	0.002	0.002	0.001	0.001	0.001	0.001	0.002	0.002	0.002	0.002	0.019	0.019	0.040	0.040	0.005	0.005	0.012	0.012	0.005	0.005	0.014	0.014
108051	0.016	0.016	0.008	0.008	0.007	0.007	0.023	0.023	0.006	0.006	0.008	0.008	0.006	0.006	0.006	0.006	0.002	0.002	0.000	0.000	0.001	0.001
100301	0.010	0.010	0.010	0.010	0.003	0.003	0.007	0.007	0.010	0.010	0.009	0.009	0.012	0.012	0.009	0.009	0.007	0.007	0.008	0.008	0.007	0.007
109339	0.005	0.005	0.007	0.007	0.010	0.010	0.003	0.003	0.009	0.009	0.025	0.025	0.004	0.004	0.009	0.009	0.003	0.003	0.003	0.003	0.006	0.006
133606	0.001	0.001	0.001	0.001	0.000	0.000	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
104419	0.008	0.008	0.002	0.002	0.002	0.002	0.005	0.005	0.000	0.000	0.004	0.004	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100507	0.004	0.004	0.017	0.017	0.000	0.000	0.002	0.002	0.003	0.003	0.002	0.002	0.011	0.011	0.005	0.005	0.007	0.007	0.000	0.000	0.005	0.005
131092	0.002	0.002	0.004	0.004	0.004	0.004	0.003	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
103501	0.002	0.002	0.002	0.002	0.000	0.000	0.005	0.005	0.001	0.001	0.026	0.026	0.008	0.008	0.009	0.009	0.007	0.007	0.001	0.001	0.003	0.003
112211	0.003	0.003	0.078	0.078	0.008	0.008	0.016	0.016	0.122	0.122	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
108721	0.013	0.013	0.008	0.008	0.000	0.000	0.005	0.005	0.006	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
130755	0.001	0.001	0.023	0.023	0.000	0.000	0.006	0.006	0.053	0.053	0.007	0.007	0.003	0.003	0.006	0.006	0.000	0.000	0.007	0.007	0.001	0.001
132071	0.009	0.009	0.034	0.034	0.002	0.002	0.007	0.007	0.072	0.072	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
126778	0.001	0.001	0.003	0.003	0.003	0.003	0.004	0.004	0.006	0.006	0.063	0.063	0.107	0.107	0.061	0.061	0.108	0.108	0.055	0.055	0.124	0.124
108556	0.003	0.003	0.001	0.001	0.000	0.000	0.000	0.000	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
146082	0.005	0.005	0.018	0.018	0.000	0.000	0.005	0.005	0.028	0.028	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
115369	0.004	0.004	0.001	0.001	0.000	0.000	0.002	0.002	0.001	0.001	0.008	0.008	0.002	0.002	0.016	0.016	0.000	0.000	0.001	0.001	0.005	0.005
139947	0.004	0.004	0.004	0.004	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
136088	0.020	0.020	0.000	0.000	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
107220	0.008	0.008	0.008	0.008	0.004	0.004	0.014	0.014	0.000	0.000	0.003	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
138779	0.005	0.005	0.002	0.002	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
141133	0.001	0.001	0.045	0.045	0.031	0.031	0.031	0.031	0.072	0.072	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
137669	0.007	0.007	0.006	0.006	0.006	0.006	0.007	0.007	0.003	0.003	0.006	0.006	0.001	0.001	0.012	0.012	0.001	0.001	0.011	0.011	0.004	0.004
134974	0.012	0.012	0.009	0.009	0.000	0.000	0.014	0.014	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100304	0.002	0.002	0.001	0.001	0.007	0.007	0.002	0.002	0.001	0.001	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
103531	0.007	0.007	0.004	0.004	0.000	0.000	0.005	0.005	0.000	0.000	0.007	0.007	0.010	0.010	0.016	0.016	0.002	0.002	0.011	0.011	0.003	0.003
110918	0.004	0.004	0.002	0.002	0.000	0.000	0.000	0.000	0.005	0.005	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101485	0.013	0.013	0.000	0.000	0.011	0.011	0.017	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
120881	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.002	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001
103955	0.007	0.007	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
131071	0.003	0.003	0.002	0.002	0.000	0.000	0.001	0.001	0.002	0.002	0.011	0.011	0.006	0.006	0.009	0.009	0.009	0.009	0.000	0.000	0.006	0.006
114962	0.002	0.002	0.002	0.002	0.000	0.000	0.001	0.001	0.003	0.003	0.002	0.002	0.004	0.004	0.000	0.000	0.008	0.008	0.000	0.000	0.000	0.000
102407	0.002	0.002	0.003	0.003	0.000	0.000	0.006	0.006	0.000	0.000	0.005	0.005	0.005	0.005	0.002	0.002	0.009	0.009	0.014	0.014	0.006	0.006
119286	0.018	0.018	0.002	0.002	0.015	0.015	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
120896	0.021	0.021	0.017	0.017	0.027	0.027	0.008	0.008	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
137981	0.021	0.021	0.007	0.007	0.013	0.013	0.016	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
128586	0.000	0.000	0.020	0.020	0.000	0.000	0.002	0.002	0.033	0.033	0.003	0.003	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001
133523	0.000	0.000	0.017	0.017	0.001	0.001	0.008	0.008	0.012	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
102065	0.000	0.000	0.002	0.002	0.000	0.000	0.000	0.000	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
103525	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100056	0.000	0.000	0.005	0.005	0.000	0.000	0.001	0.001	0.001	0.001	0.002	0.002	0.001	0.001	0.000	0.000	0.008	0.008	0.014	0.014	0.000	0.000
106616	0.000	0.000	0.002	0.002	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
116583	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.003	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101713	0.000	0.000	0.006	0.006	0.000	0.000	0.004	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
129214	0.000	0.000	0.001	0.001	0.008	0.008	0.004	0.004	0.010	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
102629	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
116156	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.003	0.000	0.000	0.009	0.009	0.005	0.005	0.000	0.000	0.004	0.004	0.002	0.002	0.001	0.001
100120	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100162	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
116922	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.007	0.007	0.005	0.005	0.007	0.007	0.007	0.007	0.000	0.000	0.003	0.003
101148	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.002	0.000	0.000	0.002	0.002	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
110884	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
129701	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101347	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.001	0.001	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100224	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
147595	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.002	0.002	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
128622	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.002	0.000	0.000	0.000	0.000	0.003	0.003	0.000	0.000	0.000	0.000
101745	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
112342	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
123672	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100556	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
112600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
108600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100520	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101378	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.005	0.006	0.006	0.007	0.007	0.006	0.006	0.006	0.006	0.007	0.007
102755	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.004	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
115971	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
144272	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
137434	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100122	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
108980	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101890	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
106607	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100129	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
112969	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
116464	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.005	0.000	0.000	0.000	0.000	0.000	0.000
