species_id	marker_read_counts	median_marker_coverage	marker_coverage	marker_relative_abundance	unique_fraction_covered
112211	1626	16.723602	23.329442	0.122149	0.933333
112461	1384	14.810962	19.014592	0.099557	1.000000
132071	937	10.066667	13.755303	0.072020	0.800000
101380	749	8.224401	10.054086	0.052641	1.000000
141133	1033	6.598060	13.811995	0.072317	0.666667
130755	532	6.196396	10.098429	0.052874	0.636364
134387	1091	5.899863	15.837946	0.082925	1.000000
142728	794	5.666255	11.558117	0.060516	0.857143
100291	437	4.955197	6.286164	0.032913	1.000000
100131	498	3.347222	7.357594	0.038523	0.866667
109416	454	1.714108	7.395320	0.038721	0.916667
101186	225	1.480392	3.343020	0.017503	0.866667
104604	241	1.280142	3.512243	0.018390	0.733333
126778	81	1.279857	1.160349	0.006075	0.733333
108051	76	1.146799	1.062417	0.005563	0.866667
101273	316	0.894155	4.717278	0.024699	0.800000
137669	41	0.547619	0.511732	0.002679	0.600000
108278	94	0.518900	1.364986	0.007147	0.800000
105623	33	0.487265	0.472495	0.002474	0.600000
119889	172	0.232487	2.510350	0.013144	0.466667
102065	26	0.160809	0.352853	0.001847	0.500000
100304	8	0.000000	0.111736	0.000585	0.133333
102407	4	0.000000	0.054990	0.000288	0.133333
120881	20	0.000000	0.295037	0.001545	0.133333
112332	56	0.000000	0.789214	0.004132	0.266667
110918	76	0.000000	0.931460	0.004877	0.000000
103501	14	0.000000	0.209535	0.001097	0.200000
113213	73	0.000000	0.969495	0.005076	0.333333
100301	143	0.000000	1.885160	0.009870	0.200000
128586	441	0.000000	6.378511	0.033397	0.466667
108556	30	0.000000	0.450746	0.002360	0.133333
108721	74	0.000000	1.070655	0.005606	0.200000
134974	18	0.000000	0.283354	0.001484	0.214286
101701	18	0.000000	0.258679	0.001354	0.400000
100056	15	0.000000	0.218787	0.001146	0.200000
146082	370	0.000000	5.390079	0.028222	0.466667
109339	119	0.000000	1.807177	0.009462	0.200000
100507	44	0.000000	0.600531	0.003144	0.400000
129214	131	0.000000	1.952691	0.010224	0.333333
111379	145	0.000000	2.277471	0.011924	0.230769
114962	41	0.000000	0.627438	0.003285	0.142857
131071	19	0.000000	0.421193	0.002205	0.181818
101047	186	0.000000	2.759901	0.014450	0.466667
120896	17	0.000000	0.250689	0.001313	0.200000
101378	6	0.000000	0.090828	0.000476	0.142857
115369	9	0.000000	0.128474	0.000673	0.133333
116583	35	0.000000	0.490485	0.002568	0.133333
133523	153	0.000000	2.279728	0.011936	0.466667
147157	36	0.000000	0.500925	0.002623	0.214286
