species_id	marker_read_counts	median_marker_coverage	marker_coverage	marker_relative_abundance	unique_fraction_covered
101186	2257	36.964539	33.006790	0.182319	1.000000
126778	1352	22.566836	19.525615	0.107853	1.000000
134387	1561	22.372760	22.606197	0.124869	1.000000
104604	1537	19.873479	22.059214	0.121848	0.933333
101273	863	12.722222	12.600822	0.069603	1.000000
100291	740	9.829749	10.609355	0.058603	0.933333
100131	811	8.974359	11.665089	0.064434	0.733333
109416	569	7.376191	9.294411	0.051339	1.000000
101380	650	4.211454	8.896419	0.049141	0.800000
101047	237	2.334311	3.320000	0.018339	0.666667
101701	280	2.062842	4.011144	0.022156	0.533333
108278	218	1.138763	3.120810	0.017238	0.600000
131071	78	0.727858	1.719353	0.009497	0.454545
113213	165	0.538324	2.474141	0.013666	0.600000
100301	93	0.000000	1.249777	0.006903	0.266667
101378	74	0.000000	1.087360	0.006006	0.214286
112211	5	0.000000	0.073458	0.000406	0.133333
100056	109	0.000000	1.409305	0.007785	0.266667
102407	112	0.000000	1.614571	0.008918	0.333333
137669	15	0.000000	0.184955	0.001022	0.333333
109339	31	0.000000	0.467695	0.002583	0.133333
111379	45	0.000000	0.733138	0.004050	0.307692
105623	144	0.000000	2.137278	0.011806	0.466667
100507	81	0.000000	1.195060	0.006601	0.266667
128622	48	0.000000	0.631804	0.003490	0.153846
116922	75	0.000000	1.253180	0.006922	0.285714
114962	80	0.000000	1.376782	0.007605	0.142857
108051	23	0.000000	0.326251	0.001802	0.200000
103531	30	0.000000	0.444248	0.002454	0.200000
116156	25	0.000000	0.658377	0.003637	0.200000
103501	86	0.000000	1.286054	0.007104	0.400000
