sample_name	species_id	pangenome_size	covered_genes	fraction_covered	mean_coverage	aligned_reads	mapped_reads	marker_coverage
20091FL-01-01-13	134387	2872	2178	0.758	22.266	686491	327885	29.807
20091FL-01-01-13	134387	2872	2178	0.758	22.266	686491	327885	29.807
20091FL-01-01-14	134387	2872	2185	0.761	20.281	526216	317931	12.371
20091FL-01-01-14	134387	2872	2185	0.761	20.281	526216	317931	12.371
20091FL-01-01-15	134387	2872	2172	0.756	16.538	574125	241436	4.368
20091FL-01-01-15	134387	2872	2172	0.756	16.538	574125	241436	4.368
20091FL-01-01-17	134387	2872	2250	0.783	13.644	458091	241092	10.881
20091FL-01-01-17	134387	2872	2250	0.783	13.644	458091	241092	10.881
20091FL-01-01-18	134387	2872	2178	0.758	26.656	802880	433289	7.512
20091FL-01-01-18	134387	2872	2178	0.758	26.656	802880	433289	7.512
20091FL-01-01-19	134387	2872	2275	0.792	80.404	2509139	1483140	61.022
20091FL-01-01-19	134387	2872	2275	0.792	80.404	2509139	1483140	61.022
20091FL-01-01-20	134387	2872	2286	0.796	85.903	2819648	1645934	100.767
20091FL-01-01-20	134387	2872	2286	0.796	85.903	2819648	1645934	100.767
20091FL-01-01-21	134387	2872	2234	0.778	89.005	2805373	1610823	63.198
20091FL-01-01-21	134387	2872	2234	0.778	89.005	2805373	1610823	63.198
20091FL-01-01-22	134387	2872	2203	0.767	36.019	1046254	603853	36.880
20091FL-01-01-22	134387	2872	2203	0.767	36.019	1046254	603853	36.880
20091FL-01-01-23	134387	2872	2193	0.764	40.789	1398423	708133	36.419
20091FL-01-01-23	134387	2872	2193	0.764	40.789	1398423	708133	36.419
20091FL-01-01-24	134387	2872	2241	0.780	99.418	3541556	1849583	80.966
20091FL-01-01-24	134387	2872	2241	0.780	99.418	3541556	1849583	80.966
20091FL-01-01-13	101273	8043	3227	0.401	32.309	1184429	637915	22.097
20091FL-01-01-13	101273	8043	3227	0.401	32.309	1184429	637915	22.097
20091FL-01-01-14	101273	8043	3031	0.377	15.290	505722	273461	15.343
20091FL-01-01-14	101273	8043	3031	0.377	15.290	505722	273461	15.343
20091FL-01-01-15	101273	8043	3015	0.375	17.559	703254	298824	7.432
20091FL-01-01-15	101273	8043	3015	0.375	17.559	703254	298824	7.432
20091FL-01-01-17	101273	8043	3682	0.458	33.498	1614698	907433	46.583
20091FL-01-01-17	101273	8043	3682	0.458	33.498	1614698	907433	46.583
20091FL-01-01-18	101273	8043	3065	0.381	10.300	421627	195201	2.686
20091FL-01-01-18	101273	8043	3065	0.381	10.300	421627	195201	2.686
20091FL-01-01-19	101273	8043	3573	0.444	64.470	2968930	1652241	71.582
