species_id	20091FL-01-01-13	20091FL-01-01-13	20091FL-01-01-14	20091FL-01-01-14	20091FL-01-01-15	20091FL-01-01-15	20091FL-01-01-17	20091FL-01-01-17	20091FL-01-01-18	20091FL-01-01-18	20091FL-01-01-19	20091FL-01-01-19	20091FL-01-01-20	20091FL-01-01-20	20091FL-01-01-21	20091FL-01-01-21	20091FL-01-01-22	20091FL-01-01-22	20091FL-01-01-23	20091FL-01-01-23	20091FL-01-01-24	20091FL-01-01-24
101380	27.429	27.429	11.735	11.735	73.401	73.401	35.355	35.355	10.054	10.054	14.055	14.055	21.266	21.266	4.322	4.322	8.896	8.896	2.540	2.540	21.645	21.645
101273	20.731	20.731	7.972	7.972	5.388	5.388	23.770	23.770	4.717	4.717	39.988	39.988	34.882	34.882	22.133	22.133	12.601	12.601	7.461	7.461	25.199	25.199
134387	16.358	16.358	12.786	12.786	3.801	3.801	7.498	7.498	15.838	15.838	64.587	64.587	58.852	58.852	51.528	51.528	22.606	22.606	20.075	20.075	51.232	51.232
101701	13.978	13.978	0.348	0.348	8.290	8.290	8.628	8.628	0.259	0.259	17.570	17.570	2.790	2.790	7.475	7.475	4.011	4.011	0.464	0.464	7.427	7.427
100291	13.305	13.305	19.490	19.490	5.144	5.144	10.130	10.130	6.286	6.286	28.037	28.037	30.794	30.794	3.565	3.565	10.609	10.609	7.148	7.148	15.689	15.689
119889	19.908	19.908	2.040	2.040	9.631	9.631	14.727	14.727	2.510	2.510	1.124	1.124	0.058	0.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
108278	11.138	11.138	2.170	2.170	5.023	5.023	24.767	24.767	1.365	1.365	15.253	15.253	12.693	12.693	9.492	9.492	3.121	3.121	6.599	6.599	10.538	10.538
113213	7.017	7.017	1.287	1.287	1.155	1.155	4.329	4.329	0.969	0.969	16.481	16.481	9.954	9.954	6.747	6.747	2.474	2.474	3.513	3.513	9.867	9.867
142728	5.306	5.306	16.255	16.255	6.685	6.685	6.324	6.324	11.558	11.558	0.401	0.401	0.173	0.173	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101186	4.285	4.285	4.988	4.988	3.343	3.343	7.013	7.013	3.343	3.343	23.220	23.220	40.161	40.161	16.873	16.873	33.007	33.007	22.161	22.161	52.818	52.818
134971	5.353	5.353	2.516	2.516	1.708	1.708	2.883	2.883	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
112332	6.062	6.062	2.254	2.254	4.346	4.346	7.721	7.721	0.789	0.789	0.794	0.794	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
104604	2.059	2.059	5.369	5.369	4.848	4.848	4.766	4.766	3.512	3.512	26.077	26.077	35.709	35.709	17.679	17.679	22.059	22.059	5.967	5.967	67.578	67.578
103992	2.978	2.978	1.162	1.162	2.363	2.363	8.611	8.611	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
109416	5.816	5.816	11.309	11.309	1.344	1.344	3.468	3.468	7.395	7.395	15.617	15.617	34.706	34.706	14.417	14.417	9.294	9.294	7.042	7.042	45.634	45.634
100131	6.785	6.785	6.866	6.866	3.399	3.399	2.233	2.233	7.358	7.358	19.092	19.092	31.122	31.122	2.733	2.733	11.665	11.665	0.463	0.463	21.578	21.578
101047	1.655	1.655	0.433	0.433	0.343	0.343	2.592	2.592	2.760	2.760	20.770	20.770	8.506	8.506	11.339	11.339	3.320	3.320	3.315	3.315	5.364	5.364
112461	3.386	3.386	17.207	17.207	0.667	0.667	3.733	3.733	19.015	19.015	1.190	1.190	0.208	0.208	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
121827	1.662	1.662	0.167	0.167	2.223	2.223	1.445	1.445	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
141329	0.238	0.238	0.000	0.000	0.062	0.062	0.396	0.396	0.000	0.000	0.048	0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
147157	5.840	5.840	3.353	3.353	2.028	2.028	4.923	4.923	0.501	0.501	0.061	0.061	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
125707	2.025	2.025	0.000	0.000	0.000	0.000	0.624	0.624	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
111379	0.981	0.981	0.407	0.407	1.107	1.107	0.358	0.358	2.277	2.277	4.421	4.421	2.233	2.233	1.575	1.575	0.733	0.733	0.357	0.357	0.203	0.203
105623	0.466	0.466	0.224	0.224	0.201	0.201	0.405	0.405	0.472	0.472	7.634	7.634	17.258	17.258	1.093	1.093	2.137	2.137	0.463	0.463	5.762	5.762
108051	3.978	3.978	1.775	1.775	1.305	1.305	5.838	5.838	1.062	1.062	3.206	3.206	2.592	2.592	1.326	1.326	0.326	0.326	0.000	0.000	0.250	0.250
100301	2.489	2.489	2.160	2.160	0.503	0.503	1.729	1.729	1.885	1.885	3.538	3.538	5.392	5.392	1.874	1.874	1.250	1.250	0.757	0.757	2.914	2.914
109339	1.303	1.303	1.445	1.445	1.825	1.825	0.744	0.744	1.807	1.807	10.126	10.126	1.795	1.795	1.786	1.786	0.468	0.468	0.259	0.259	2.555	2.555
133606	0.267	0.267	0.288	0.288	0.000	0.000	0.511	0.511	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
