species_id	20091FL-01-01-13	20091FL-01-01-13	20091FL-01-01-14	20091FL-01-01-14	20091FL-01-01-15	20091FL-01-01-15	20091FL-01-01-17	20091FL-01-01-17	20091FL-01-01-18	20091FL-01-01-18	20091FL-01-01-19	20091FL-01-01-19	20091FL-01-01-20	20091FL-01-01-20	20091FL-01-01-21	20091FL-01-01-21	20091FL-01-01-22	20091FL-01-01-22	20091FL-01-01-23	20091FL-01-01-23	20091FL-01-01-24	20091FL-01-01-24
101380	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.600	0.600	0.800	0.800	0.667	0.667	0.867	0.867
101273	0.933	0.933	1.000	1.000	0.867	0.867	1.000	1.000	0.800	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.867	0.867	1.000	1.000
134387	1.000	1.000	0.933	0.933	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
101701	0.733	0.733	0.467	0.467	0.733	0.733	0.867	0.867	0.400	0.400	0.933	0.933	0.867	0.867	0.733	0.733	0.533	0.533	0.467	0.467	0.733	0.733
100291	0.933	0.933	1.000	1.000	0.933	0.933	0.933	0.933	1.000	1.000	1.000	1.000	1.000	1.000	0.867	0.867	0.933	0.933	0.800	0.800	0.867	0.867
119889	0.733	0.733	0.533	0.533	0.867	0.867	1.000	1.000	0.467	0.467	0.533	0.533	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
108278	0.933	0.933	0.733	0.733	0.733	0.733	1.000	1.000	0.800	0.800	1.000	1.000	1.000	1.000	0.800	0.800	0.600	0.600	0.733	0.733	0.867	0.867
113213	0.733	0.733	0.467	0.467	0.467	0.467	0.867	0.867	0.333	0.333	0.867	0.867	0.933	0.933	0.733	0.733	0.600	0.600	0.400	0.400	0.800	0.800
142728	0.643	0.643	1.000	1.000	0.571	0.571	0.929	0.929	0.857	0.857	0.500	0.500	0.143	0.143	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101186	0.733	0.733	0.867	0.867	0.733	0.733	0.933	0.933	0.867	0.867	1.000	1.000	1.000	1.000	0.933	0.933	1.000	1.000	0.933	0.933	1.000	1.000
134971	0.733	0.733	0.400	0.400	0.200	0.200	0.733	0.733	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
112332	0.667	0.667	0.600	0.600	0.600	0.600	0.933	0.933	0.267	0.267	0.467	0.467	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
104604	0.733	0.733	0.800	0.800	0.867	0.867	0.933	0.933	0.733	0.733	1.000	1.000	1.000	1.000	0.867	0.867	0.933	0.933	0.800	0.800	1.000	1.000
103992	0.533	0.533	0.400	0.400	0.400	0.400	0.933	0.933	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
109416	0.667	0.667	1.000	1.000	0.500	0.500	0.917	0.917	0.917	0.917	1.000	1.000	1.000	1.000	0.917	0.917	1.000	1.000	0.750	0.750	1.000	1.000
100131	0.333	0.333	0.733	0.733	0.667	0.667	0.667	0.667	0.867	0.867	0.800	0.800	0.867	0.867	0.467	0.467	0.733	0.733	0.400	0.400	0.733	0.733
101047	0.467	0.467	0.467	0.467	0.333	0.333	0.933	0.933	0.467	0.467	1.000	1.000	1.000	1.000	0.867	0.867	0.667	0.667	0.600	0.600	0.933	0.933
112461	0.467	0.467	1.000	1.000	0.400	0.400	0.867	0.867	1.000	1.000	0.400	0.400	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
121827	0.333	0.333	0.200	0.200	0.333	0.333	0.533	0.533	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
141329	0.133	0.133	0.000	0.000	0.133	0.133	0.200	0.200	0.000	0.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
147157	0.357	0.357	0.714	0.714	0.286	0.286	1.000	1.000	0.214	0.214	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
